sentence,item_id,surprisal-5gram_mean,surprisal-gpt2-xl_mean,surprisal-pcfg_mean,stimsetid,sent_identifier
A monkey with a bird's voice!,249,2.161333507,4.390573,12.583915,beta-control-neural-D.249,torontofantasy.6.049114
She screamed over the loud noise.,250,2.62612319,4.7106013,11.06555143,beta-control-neural-D.250,torontofantasy.6.282983
"The invisible girl, the unknown princess.",251,3.24337686,5.156739,11.1690725,beta-control-neural-D.251,torontofantasy.6.473067
Not some innate sense or skill.,252,3.25352054,5.8628798,13.30895286,beta-control-neural-D.252,torontofantasy.6.068219
She had a business to sell.,253,2.128682779,4.3774076,7.755351429,beta-control-neural-D.253,torontofantasy.6.344266
"He could be cruel, domineering, arrogant.",254,3.234804085,3.8613698,10.29879333,beta-control-neural-D.254,torontofantasy.6.012269
"Pleasure, release, then ultimately, eternal peace.",255,3.622163236,4.6870613,11.369602,beta-control-neural-D.255,torontofantasy.6.262793
Responsibility is vital in group discipline.,256,3.280782069,4.6045203,10.40132571,beta-control-neural-D.256,torontofantasy.6.005037
This is an occasion for celebration.,257,1.778577949,3.3648224,9.343525714,beta-control-neural-D.257,torontofantasy.6.250087
Used to be a truck driver.,258,2.021493835,4.010647,10.03819571,beta-control-neural-D.258,torontofantasy.6.003917
And it was boring and miserable.,259,2.322882337,4.552556,7.789918571,beta-control-neural-D.259,torontofantasy.6.450936
"You planted this garden, did you?",260,3.550252983,3.9578938,11.68678625,beta-control-neural-D.260,torontofantasy.6.122197
The four of them silently embraced.,261,2.519479801,5.0558405,11.70778571,beta-control-neural-D.261,torontofantasy.6.036507
But the job with the blacksmith?,262,2.224580552,5.165644,13.61591,beta-control-neural-D.262,torontofantasy.6.337788
The slick slide of moist flesh.,263,3.28946134,5.981602,12.88648286,beta-control-neural-D.263,torontofantasy.6.170781
"Become someone successful, or even famous.",264,3.604250874,4.6146827,11.702775,beta-control-neural-D.264,torontofantasy.6.475851
I suddenly feel shy and embarrassed.,265,2.725704534,4.360833,11.28103286,beta-control-neural-D.265,torontofantasy.6.189555
And some green beans and tomatoes.,266,2.758209995,5.024174,12.76282143,beta-control-neural-D.266,torontofantasy.6.079230
She'd have to tread very carefully.,267,2.659714825,3.9489622,8.622617,beta-control-neural-D.267,torontofantasy.6.357786
The clinic was for AIDS patients.,268,2.212117561,4.868089,9.266558571,beta-control-neural-D.268,torontofantasy.6.247203
"The next day, he was gone.",269,1.381204814,2.8115966,7.61072625,beta-control-neural-D.269,torontofantasy.6.479059
No response to known prescription drugs.,270,2.735497338,5.801579,11.75880143,beta-control-neural-D.270,torontofantasy.6.147313
Morals and spirituality would become obsolete.,271,3.048146495,5.584557,11.24428,beta-control-neural-D.271,torontofantasy.6.282274
Or was she purposely ignoring it?,272,2.960977278,5.046092,11.39894857,beta-control-neural-D.272,torontofantasy.6.001939
Trying to hide from your lies?,273,2.416053616,4.049795,13.74952143,beta-control-neural-D.273,torontofantasy.6.370996
That blade will cut through anything.,274,2.936908126,4.2434306,10.78179429,beta-control-neural-D.274,torontofantasy.6.221691
The problem is the surveillance cameras.,275,1.93141652,4.135285,8.530817143,beta-control-neural-D.275,torontofantasy.6.017801
A work of art in itself.,276,1.485436627,3.3145177,9.974435714,beta-control-neural-D.276,torontofantasy.6.468621
Bare concrete floor met unpainted drywall.,277,4.561717306,5.5886936,14.83760857,beta-control-neural-D.277,torontofantasy.6.176895
"He asked, still sounding utterly disinterested.",278,3.411072203,4.9395003,11.94385875,beta-control-neural-D.278,torontofantasy.6.300812
Or threaten them in some way?,279,2.171566018,4.87904,11.12534143,beta-control-neural-D.279,torontofantasy.6.372780
In them was sorrow and anger.,280,2.678744376,5.1683683,9.352685714,beta-control-neural-D.280,torontofantasy.6.170725
The signal was one of power.,281,1.995621165,4.7108526,7.803753714,beta-control-neural-D.281,torontofantasy.6.109846
The one seen at the murder?,282,2.251221844,6.1174526,10.57560429,beta-control-neural-D.282,torontofantasy.6.056214
"A game of football, I suggest?",283,2.384145217,4.6475186,10.5638075,beta-control-neural-D.283,torontofantasy.6.200641
And so very thoughtful of you.,284,2.768279791,4.520103,10.78555143,beta-control-neural-D.284,torontofantasy.6.430724
Were all the vampire stories true?,285,3.268215367,4.724189,13.02129,beta-control-neural-D.285,torontofantasy.6.459613
What else remained from the communism?,286,2.930341278,5.918953,12.24820571,beta-control-neural-D.286,torontofantasy.6.085009
We could have increased cosmic radiation.,287,2.466405251,5.940503,9.467531429,beta-control-neural-D.287,torontofantasy.6.195404
I'm not teaching middle school here.,288,2.552639931,3.9478195,10.849655,beta-control-neural-D.288,torontofantasy.6.168656
Please send for him at once.,289,2.373662617,5.2072153,12.29502,beta-control-neural-D.289,torontofantasy.6.418014
"The court continued on, as expected.",290,2.205539661,4.7828603,9.077745,beta-control-neural-D.290,torontofantasy.6.068245
He just laughs when we weep.,291,3.006425066,5.8109865,11.52628714,beta-control-neural-D.291,torontofantasy.6.061040
"Fortunately, she was not easily deterred.",292,2.64782909,3.5014045,9.36905325,beta-control-neural-D.292,torontofantasy.6.056580
For every room of the house.,293,1.75292173,4.1681533,10.90927714,beta-control-neural-D.293,torontofantasy.6.281122
The building housed a great hall.,294,1.786264134,5.118353,9.720864286,beta-control-neural-D.294,torontofantasy.6.329137
The sometimes cruel and hateful road.,295,3.164930437,6.5530834,13.93559714,beta-control-neural-D.295,torontofantasy.6.460006
"Color-wise, silver and pink are good.",296,3.437680304,4.6648464,10.6369,beta-control-neural-D.296,torontofantasy.6.132560
There are seldom any other kind.,297,2.520090674,5.2039824,9.354181429,beta-control-neural-D.297,torontofantasy.6.193862
Plus there be laws and rules.,298,2.7696426,6.2086945,11.15494714,beta-control-neural-D.298,torontofantasy.6.316814
She makes me brush my hair.,299,2.883202212,4.7318444,11.45336,beta-control-neural-D.299,torontofantasy.6.356101
His soul sang with the music.,300,2.42505386,4.7299223,11.01527857,beta-control-neural-D.300,torontofantasy.6.245508
His knee pressed on my neck.,301,2.737563848,5.6378026,12.29189429,beta-control-neural-D.301,torontofantasy.6.340517
She could move undetected and untouched.,302,2.923162324,5.6964006,11.28605,beta-control-neural-D.302,torontofantasy.6.029511
The military forces of the colony.,303,1.534976478,4.940902,9.898864286,beta-control-neural-D.303,torontofantasy.6.152171
His mental anxiety had no outlet.,304,3.016548514,6.1186905,12.76567143,beta-control-neural-D.304,torontofantasy.6.005133
Forgive me if I frighten you.,305,2.697212186,2.828233,13.41911714,beta-control-neural-D.305,torontofantasy.6.193557
I'm also hiring an office assistant.,306,2.477417968,4.1796184,9.8561325,beta-control-neural-D.306,torontofantasy.6.082378
"Read the book, sign the forms.",307,2.666248356,4.679961,11.31930625,beta-control-neural-D.307,torontofantasy.6.394729
State your name for the Council.,308,2.644000045,5.004278,11.17946429,beta-control-neural-D.308,torontofantasy.6.102080
"Like an idiot, I'd believed her.",309,2.810842633,3.9008005,10.85342111,beta-control-neural-D.309,torontofantasy.6.326616
Remember the sound of his voice.,310,1.968817847,4.0023837,8.8968,beta-control-neural-D.310,torontofantasy.6.104352
Sugar would help restore our energy.,311,3.005004202,5.128871,9.75127,beta-control-neural-D.311,torontofantasy.6.094311
He felt his stomach for blood.,312,2.407364488,5.024541,10.84716286,beta-control-neural-D.312,torontofantasy.6.232265
I certainly wouldn't wear dress pants.,313,2.336649843,4.6728444,10.1654375,beta-control-neural-D.313,torontofantasy.6.400488
Recognize your picture from the paper.,314,2.81132377,4.355238,11.34011857,beta-control-neural-D.314,torontofantasy.6.072091
Great water pressure in those pipes.,315,3.172227732,5.4367294,12.03724429,beta-control-neural-D.315,torontofantasy.6.314112
Geometric theory applied to puzzle making?,316,3.169992072,6.2713733,13.67604714,beta-control-neural-D.316,torontofantasy.6.232581
"His cell was functional, if unoriginal.",317,3.331195729,5.508682,11.09180125,beta-control-neural-D.317,torontofantasy.6.201291
From northern waste to southern hill.,318,3.139984531,6.3609424,13.38226143,beta-control-neural-D.318,torontofantasy.6.157829
They never caused me any harm.,319,2.596418858,3.9183764,10.73881,beta-control-neural-D.319,torontofantasy.6.072103
Do you worship at their temple?,320,2.730988707,4.3430653,11.54134,beta-control-neural-D.320,torontofantasy.6.458953
They definitely had a close relationship.,321,1.952956617,3.9653552,9.353627143,beta-control-neural-D.321,torontofantasy.6.376919
A tree covered with red berries.,322,2.358970067,4.4138064,12.06269714,beta-control-neural-D.322,torontofantasy.6.173307
From some historian his father met.,323,3.127851759,7.6640563,12.62965857,beta-control-neural-D.323,torontofantasy.6.026944
Her safety is of utmost importance.,324,2.251008527,3.6596029,11.23353286,beta-control-neural-D.324,torontofantasy.6.006530
Vegetable soup and a turkey sandwich.,325,2.705183744,3.7362013,13.35502429,beta-control-neural-D.325,torontofantasy.6.384704
But nothing like those stomach cramps.,326,2.755731489,5.065161,12.16413143,beta-control-neural-D.326,torontofantasy.6.052738
A creature both demon and beast.,327,3.302800775,5.3408337,14.07996857,beta-control-neural-D.327,torontofantasy.6.136104
It wouldn't be any fun otherwise.,328,2.08858732,3.216209,9.4086775,beta-control-neural-D.328,torontofantasy.6.250539
Bright lights shining in my eyes.,329,2.292545123,3.9217298,12.53440857,beta-control-neural-D.329,torontofantasy.6.278745
She suffered from degenerative kidney disease.,330,2.762075641,4.046971,11.86405286,beta-control-neural-D.330,torontofantasy.6.279405
"My price, however, was much higher.",331,2.611979246,3.7361274,7.499818889,beta-control-neural-D.331,torontofantasy.6.414874
But I may be incredibly ill-advised.,332,2.666971035,4.183821,9.346402857,beta-control-neural-D.332,torontofantasy.6.127745
"No chemical odor, merely salt water.",333,3.451042082,5.6308255,12.98235625,beta-control-neural-D.333,torontofantasy.6.232444
It was a breaking news report.,334,1.818126968,3.7803054,8.175737143,beta-control-neural-D.334,torontofantasy.6.037520
They pay good money for it.,335,2.16573077,3.8048167,8.307595714,beta-control-neural-D.335,torontofantasy.6.284147
He put the car in gear.,336,2.544637595,3.6437225,8.16133,beta-control-neural-D.336,torontofantasy.6.370507
Wearing jeans and a black coat.,337,2.050805713,3.745371,13.17485857,beta-control-neural-D.337,torontofantasy.6.398263
Thin metal lock-picking tools lay inside.,338,3.646317557,5.93155,13.98487714,beta-control-neural-D.338,torontofantasy.6.355283
"Oh, and an amusing little monkey.",339,2.984957014,5.217284,11.4336925,beta-control-neural-D.339,torontofantasy.6.120081
It would only delay the inevitable.,340,2.492923166,3.811767,8.957484286,beta-control-neural-D.340,torontofantasy.6.339005
The glass in the frame broke.,341,2.474098086,4.615358,9.704087143,beta-control-neural-D.341,torontofantasy.6.000749
Pull the pin and throw it!,342,2.767910847,4.083489,13.18844857,beta-control-neural-D.342,torontofantasy.6.439296
"Another mourner, another well-wisher, another liar.",343,3.708187185,3.5081167,13.05977444,beta-control-neural-D.343,torontofantasy.6.473039
Thou shalt not accede to evil.,344,2.474217926,3.919705,13.79497714,beta-control-neural-D.344,torontofantasy.6.083765
"One tug, and he went flying.",345,3.131114875,4.7258916,10.16473875,beta-control-neural-D.345,torontofantasy.6.333854
She was beauty and gentleness personified.,346,3.09960327,4.0924573,11.89842857,beta-control-neural-D.346,torontofantasy.6.227067
Hotel is just around the corner.,347,2.078561427,3.246861,9.64555,beta-control-neural-D.347,torontofantasy.6.114035
Understand the meaning of the word.,348,1.662474499,3.2344897,10.12827286,beta-control-neural-D.348,torontofantasy.6.466520
Let's hope the best team wins.,349,1.592229322,3.5841494,10.93993625,beta-control-neural-D.349,torontofantasy.6.226073
They need access to our computers.,350,2.810532527,4.7502623,8.933068571,beta-control-neural-D.350,torontofantasy.6.420561
Do not betray me in this.,351,2.302209752,4.4567714,9.38306,beta-control-neural-D.351,torontofantasy.6.231689
"And she smiled, a little nervously.",352,3.133514728,4.1669245,10.14765625,beta-control-neural-D.352,torontofantasy.6.125012
How can they just expel you?,353,2.82299241,4.921839,9.12621,beta-control-neural-D.353,torontofantasy.6.300930
"And with your arrogance, it seems.",354,3.292515653,5.319108,10.0571375,beta-control-neural-D.354,torontofantasy.6.196887
We have to go single file.,355,2.244212304,4.36879,9.398564286,beta-control-neural-D.355,torontofantasy.6.471614
He sneered contemptuously at the Daimons.,356,3.444978178,4.133792,12.11304143,beta-control-neural-D.356,torontofantasy.6.216148
"Cod, orange roughy, salmon, and tuna.",357,3.715020648,4.4410057,12.136712,beta-control-neural-D.357,torontomyst.6.058131
"Precious, beautiful, worth seeking the best.",358,3.403761506,4.596744,14.52085444,beta-control-neural-D.358,torontomyst.6.158471
"Sparrows and pigeons, no other birds.",359,3.241951959,4.15062,12.1637375,beta-control-neural-D.359,torontomyst.6.044552
Their hearts beat in rhythm together.,360,3.192326742,4.2721634,13.17937571,beta-control-neural-D.360,torontomyst.6.099594
"General personality: Generous, conscientious, amiable, loyal.",361,4.542648009,4.100884,12.41012818,beta-control-neural-D.361,torontomyst.6.008815
"This is really amazing, Doctor Face-reader.",362,3.032409102,5.4691024,11.367405,beta-control-neural-D.362,torontomyst.6.036019
Possibly the bacteria that causes plague.,363,3.084672357,4.307698,13.18808286,beta-control-neural-D.363,torontomyst.6.105912
That had a bitter almond scent.,364,3.290576237,5.7941833,11.26195714,beta-control-neural-D.364,torontomyst.6.130951
Quintessential sound of a peaceful night.,365,3.194457293,4.7225933,11.81145286,beta-control-neural-D.365,torontomyst.6.141570
The large restaurant was cafeteria style.,366,3.21215329,5.795445,10.09784857,beta-control-neural-D.366,torontomyst.6.007851
"They put us in jail, Johnny!",367,2.856523769,4.625403,11.27662875,beta-control-neural-D.367,torontomyst.6.041578
You need me to protect you.,368,2.072049686,3.8862803,9.363417143,beta-control-neural-D.368,torontomyst.6.091004
He was cruel and scary and-,369,2.657481798,5.7865286,14.384705,beta-control-neural-D.369,torontomyst.6.103861
"I made some silly assumptions, though.",370,3.262456621,4.298593,11.008785,beta-control-neural-D.370,torontomyst.6.034053
She collapsed onto the comfortable bed.,371,3.005715553,5.153191,11.22520286,beta-control-neural-D.371,torontomyst.6.100938
It's quite apparent we have problems.,372,2.416368335,4.200253,10.60615,beta-control-neural-D.372,torontomyst.6.105097
Does he have a name badge?,373,2.412550245,4.4608326,10.55924714,beta-control-neural-D.373,torontomyst.6.019381
An escalating excitement hurried her words.,374,3.694362598,7.7916317,13.20814571,beta-control-neural-D.374,torontomyst.6.123457
"Nothing broken, just very badly bruised.",375,3.173278579,5.2643995,12.26283,beta-control-neural-D.375,torontomyst.6.174897
"But he had a dog, yeah?",376,2.406299761,4.604746,10.58384125,beta-control-neural-D.376,torontomyst.6.175890
"Dirty, smelly clothes littered the floor.",377,3.590306938,3.6048648,12.56893,beta-control-neural-D.377,torontomyst.6.057307
Central Park was across the roadway.,378,2.357763359,5.693589,9.669341429,beta-control-neural-D.378,torontomyst.6.090244
The homeless woman obviously loved animals.,379,3.164082604,5.7805386,12.32826,beta-control-neural-D.379,torontomyst.6.060138
"The bag was leather, black, small.",380,3.388422106,4.5654573,9.923147778,beta-control-neural-D.380,torontomyst.6.026333
Like a late night comedy sketch.,381,2.215362481,4.590585,12.1601,beta-control-neural-D.381,torontomyst.6.002407
"The healthiest, most nutritious food ever.",382,2.881070333,3.5150414,12.55837375,beta-control-neural-D.382,torontomyst.6.029278
"Will you drink to that, boys?",383,2.793954066,4.239212,11.744105,beta-control-neural-D.383,torontomyst.6.175931
"At least three, maybe four kids.",384,2.555560912,3.8450897,12.0545875,beta-control-neural-D.384,torontomyst.6.110704
That marriage ultimately ends in divorce?,385,3.148591127,5.04504,12.00945429,beta-control-neural-D.385,torontomyst.6.010733
That kind of understanding and kindness...,386,2.384483714,5.2310133,13.83272429,beta-control-neural-D.386,torontomyst.6.170415
Why go and stir that pot?,387,3.248217515,5.0246444,13.05213286,beta-control-neural-D.387,torontomyst.6.139122
"Quite simply, it was becoming tiresome.",388,3.066119867,4.0003023,9.89181,beta-control-neural-D.388,torontomyst.6.088378
I'll show you my new dance.,389,2.044862129,3.8795168,10.8613825,beta-control-neural-D.389,torontomyst.6.143537
Something that awakened my psychic knowing.,390,3.994866797,7.0580745,14.66484571,beta-control-neural-D.390,torontomyst.6.120690
The protracted silence became almost unbearable.,391,2.789413001,5.3191514,11.89803857,beta-control-neural-D.391,torontomyst.6.143147
With charming conversations and witty sparring.,392,3.764043178,6.0454264,17.70304571,beta-control-neural-D.392,torontomyst.6.098664
"Not just physically but intellectually, emotionally.",393,3.001804505,5.5465684,13.5813875,beta-control-neural-D.393,torontomyst.6.047541
Fleas infected with plague literally starve.,394,3.157891606,5.999699,14.65280571,beta-control-neural-D.394,torontomyst.6.105909
And stitches all over the place.,395,2.375891937,4.58406,10.19196571,beta-control-neural-D.395,torontomyst.6.041673
"In fact, he looked downright uncomfortable.",396,2.508386995,4.0537987,8.895560625,beta-control-neural-D.396,torontomyst.6.085923
Violent moons around a dead planet.,397,3.191768834,5.0926046,12.73336714,beta-control-neural-D.397,torontomyst.6.137509
"I was so embarrassed, so ashamed.",398,2.444278717,3.3998325,9.42238875,beta-control-neural-D.398,torontomyst.6.119205
I needed to test your methodology.,399,2.567086999,4.873697,10.24432571,beta-control-neural-D.399,torontomyst.6.010285
We went hiking at Bear Mountain.,400,2.742081847,4.602074,11.30834,beta-control-neural-D.400,torontomyst.6.100642
Wild horses couldn't keep me away.,401,2.269608325,4.6748915,10.21680875,beta-control-neural-D.401,torontomyst.6.097567
They fled Russia after the revolution.,402,2.079815107,4.549521,9.899955714,beta-control-neural-D.402,torontomyst.6.095910
Were narrow field stones set perpendicular?,403,3.641407779,9.167056,15.82957143,beta-control-neural-D.403,torontomyst.6.058072
Could a spark explode the fuel?,404,3.647612487,6.0160937,13.27890571,beta-control-neural-D.404,torontomyst.6.063342
Let this be quick and simple.,405,2.429323009,4.1510143,8.871948571,beta-control-neural-D.405,torontomyst.6.066811
Three large ones and three small.,406,2.559131895,4.9924026,12.60672429,beta-control-neural-D.406,torontomyst.6.088985
Her feathery blond hair hung limp.,407,3.390585925,5.2839146,15.91593857,beta-control-neural-D.407,torontomyst.6.050403
And the criminal investigation will continue.,408,2.371167183,4.0846734,8.594501429,beta-control-neural-D.408,torontomyst.6.076929
But then somehow I stopped myself.,409,3.124141642,4.538208,10.27376,beta-control-neural-D.409,torontomyst.6.004278
She started moving the excavated sand.,410,2.999501279,5.6900725,11.19314571,beta-control-neural-D.410,torontomyst.6.028686
I had bullets in that gun!,411,2.976357017,5.183556,11.08995286,beta-control-neural-D.411,torontomyst.6.166078
"The evidence is contradictory, at best.",412,2.126594297,3.5280256,9.26193875,beta-control-neural-D.412,torontomyst.6.087767
They deal in commercial property investments.,413,2.908463682,5.652398,9.379077143,beta-control-neural-D.413,torontomyst.6.032133
Fishes swimming in a turquoise paradise.,414,3.184986566,4.520663,13.61251,beta-control-neural-D.414,torontomyst.6.026481
The bathroom needed a complete scrubbing.,415,3.371687744,4.893551,11.78866143,beta-control-neural-D.415,torontomyst.6.085250
He's in the quantum physics department.,416,2.122124307,4.438029,9.5081475,beta-control-neural-D.416,torontomyst.6.080203
"He was too skinny, almost skeletal.",417,3.137374239,4.2876587,10.25491875,beta-control-neural-D.417,torontomyst.6.169218
Talk about a wild goose chase....,418,2.31475882,3.962562,12.7042625,beta-control-neural-D.418,torontomyst.6.156319
Something big got the ball rolling.,419,2.560098529,4.652729,12.25623143,beta-control-neural-D.419,torontomyst.6.096889
Another spike in unemployment was predicted.,420,3.001850775,5.4374256,12.04371429,beta-control-neural-D.420,torontomyst.6.175174
Opposite ends of the same axis.,421,2.22980783,4.206649,11.69233286,beta-control-neural-D.421,torontomyst.6.135424
I enjoy her chocolate fudge cake.,422,2.965548754,4.598891,13.38942,beta-control-neural-D.422,torontomyst.6.047022
The cold spring weather helped little.,423,3.06376315,5.95769,11.34288,beta-control-neural-D.423,torontomyst.6.060828
The emperor of the despondent kingdom.,424,2.766875889,4.848869,11.78025571,beta-control-neural-D.424,torontomyst.6.084658
"She leaned over him, sobbing openly.",425,3.425043872,4.2393484,10.87082,beta-control-neural-D.425,torontomyst.6.127161
She stirred sugar into her tea.,426,3.430630071,4.6618204,12.02474714,beta-control-neural-D.426,torontomyst.6.037655
No stuffed animals resembling a kangaroo?,427,2.842060336,5.6855597,15.49840714,beta-control-neural-D.427,torontomyst.6.050798
There was shouting and loud noises.,428,2.597535091,4.500873,11.27074286,beta-control-neural-D.428,torontomyst.6.023590
She looked like a fairy princess.,429,1.937516157,3.5561323,11.39243143,beta-control-neural-D.429,torontomyst.6.117714
Her wisdom and foresight is evident.,430,2.587496749,4.766766,11.26936714,beta-control-neural-D.430,torontomyst.6.169297
To sell on the black market?,431,1.496755183,4.0421143,9.321912857,beta-control-neural-D.431,torontomyst.6.037863
I ignored his arrogant little comment.,432,3.136731778,5.668038,11.03512,beta-control-neural-D.432,torontomyst.6.104742
We made promises of eternal love.,433,2.332337422,5.376787,11.29709143,beta-control-neural-D.433,torontomyst.6.011615
Humanitarian outreach and consolidation of control.,434,3.073343643,5.305887,13.15384714,beta-control-neural-D.434,torontomyst.6.137350
The ceremony will take place tonight.,435,2.479295748,3.8326538,9.486867143,beta-control-neural-D.435,torontomyst.6.151474
What about a car or truck?,436,2.154441135,3.8687692,10.55262714,beta-control-neural-D.436,torontomyst.6.150572
"I felt awful: exhausted, weak, upset.",437,3.684601273,4.3404617,11.88603,beta-control-neural-D.437,torontomyst.6.072247
Growing vegetables and tending the garden.,438,2.884607051,4.6084185,17.13796857,beta-control-neural-D.438,torontomyst.6.034207
He felt silently and secretly fulfilled.,439,3.265733872,6.4551673,12.50122429,beta-control-neural-D.439,torontomyst.6.023204
Painter stepped closer to the technician.,440,3.306175143,5.61485,11.25981857,beta-control-neural-D.440,torontomyst.6.129341
Wet hair clinging to her cheeks.,441,3.041170212,4.343583,13.96076714,beta-control-neural-D.441,torontomyst.6.168861
Eventually some of them became legends.,442,2.533989617,4.8611193,10.98454571,beta-control-neural-D.442,torontomyst.6.156081
She felt foolish and oddly frightened.,443,3.446051666,5.765628,11.41391714,beta-control-neural-D.443,torontomyst.6.126787
"Crisp, fresh onion, just enough cilantro.",444,4.379201753,3.4526327,12.15168111,beta-control-neural-D.444,torontomyst.6.114434
Nordmann considered it all very carefully.,445,2.923483023,5.244815,11.09123429,beta-control-neural-D.445,torontomyst.6.067592
I even hired a medical practitioner.,446,2.510485888,5.1097636,10.37732857,beta-control-neural-D.446,torontomyst.6.073336
"Day before tomorrow, day after yesterday.",447,3.522651877,4.8641005,12.19649375,beta-control-neural-D.447,torontomyst.6.171719
Was she a prescription drug addict?,448,2.71089759,4.235797,12.35526286,beta-control-neural-D.448,torontomyst.6.001676
Science and religion can indeed coexist.,449,2.80991877,3.3808806,11.98633,beta-control-neural-D.449,torontomyst.6.072672
"Consciously lying, he amended to himself..",450,3.483975581,6.2344027,14.82574,beta-control-neural-D.450,torontomyst.6.089810
Tricked by his own damn ruse!,451,3.3588323,4.6922145,14.14448714,beta-control-neural-D.451,torontomyst.6.127268
I picked up the razor blade...,452,2.035558899,4.7156878,12.14884014,beta-control-neural-D.452,torontomyst.6.072087
And we need a spy camera.,453,2.202998706,4.9447517,9.610324286,beta-control-neural-D.453,torontomyst.6.027654
Italy was rich with art history.,454,2.596674664,5.3323793,9.317287143,beta-control-neural-D.454,torontomyst.6.042888
Floor to ceiling windows covered it.,455,2.268775225,4.5881076,12.6559,beta-control-neural-D.455,torontomyst.6.041241
"She shrugged, hoping to look indifferent.",456,3.680919332,4.8821373,10.2967625,beta-control-neural-D.456,torontomyst.6.016134
Why should the knowledge threaten you?,457,3.170694053,5.6022725,10.72434857,beta-control-neural-D.457,torontomyst.6.010865
"Was it fear, desperation, anger, grief?",458,3.647191593,3.6682532,12.250426,beta-control-neural-D.458,torontomyst.6.137715
We're wired into your alarm system.,459,2.930402406,5.0280557,9.8129975,beta-control-neural-D.459,torontomyst.6.095210
The woman you suspect of murder.,460,2.697691483,4.825168,12.46190571,beta-control-neural-D.460,torontomyst.6.044791
His preference for basketball over golf.,461,3.010816757,5.239466,13.31602,beta-control-neural-D.461,torontomyst.6.153902
So smart and caring and hardworking.,462,2.948870667,4.370691,12.89722143,beta-control-neural-D.462,torontomyst.6.160397
A vampire can full on cry?,463,3.318295751,7.6939483,13.62054286,beta-control-neural-D.463,torontomyst.6.035235
A student intellectual turned leftist radical.,464,3.816693102,6.063098,12.98350143,beta-control-neural-D.464,torontomyst.6.044687
"Using magnetic resonance tomography, for example.",465,3.057200057,4.696144,12.65522875,beta-control-neural-D.465,torontomyst.6.038190
Is he teaching religious-symbolism classes again?,466,3.452379614,4.6662602,13.55269571,beta-control-neural-D.466,torontomyst.6.171004
And please not over the phone.,467,2.63323124,5.618233,9.94864,beta-control-neural-D.467,torontomyst.6.121577
Have we seen the prosecution judge?,468,3.031514559,6.277976,11.41437143,beta-control-neural-D.468,torontomyst.6.107731
Then she laughed a barking laugh.,469,3.289856042,5.258037,11.74812143,beta-control-neural-D.469,torontomyst.6.151784
A fully substantiated and provable fact.,470,3.210741977,4.611006,13.59897857,beta-control-neural-D.470,torontomyst.6.038417
It was an upstairs back bedroom.,471,2.786749056,4.904983,11.43741429,beta-control-neural-D.471,torontomyst.6.143911
It's built around an enclosed courtyard.,472,2.101324424,4.8121624,10.40027,beta-control-neural-D.472,torontomyst.6.156332
That was so irresponsible and dangerous.,473,2.533320342,4.4569645,8.042301429,beta-control-neural-D.473,torontomyst.6.148178
Long chandelier avocado colored earrings glistened.,474,4.510184348,6.114299,15.65584857,beta-control-neural-D.474,torontomyst.6.036457
"Unfortunately, my answers weren't any different.",475,2.84041119,4.143091,9.049731444,beta-control-neural-D.475,torontomyst.6.119474
Beyond the limits of the law.,476,1.543156886,3.7760317,9.480607143,beta-control-neural-D.476,torontomyst.6.164148
My skin feels like melting wax.,477,3.533086794,4.7436175,13.84757857,beta-control-neural-D.477,torontomyst.6.152629
Guitar chords lent a soothing strum.,478,3.751394987,5.4903526,14.22386429,beta-control-neural-D.478,torontomyst.6.099964
She pointed at my swollen jaw.,479,3.458817754,5.1345863,11.75588714,beta-control-neural-D.479,torontomyst.6.175044
"In particular, my hand remained motionless.",480,2.744493144,4.6334233,9.37074875,beta-control-neural-D.480,torontomyst.6.122698
Armed security guards arrived in force.,481,2.439908155,4.368818,12.02892857,beta-control-neural-D.481,torontomyst.6.087295
I don't have dissociative identity disorder.,482,1.797532943,2.5279815,9.950185,beta-control-neural-D.482,torontomyst.6.151623
As if that would impress anyone.,483,2.730893799,4.3584633,11.28295429,beta-control-neural-D.483,torontomyst.6.056085
He had partners and an assistant.,484,2.492882626,5.117549,9.221527143,beta-control-neural-D.484,torontomyst.6.069324
Check some of my reference books.,485,2.653334532,5.1634912,12.21384143,beta-control-neural-D.485,torontomyst.6.103541
He was a United States Senator!,486,1.212458596,4.1591907,11.11921714,beta-control-neural-D.486,torontomyst.6.025425
The voice had a muffled sound.,487,2.55660608,4.008607,10.11931143,beta-control-neural-D.487,torontomyst.6.018290
To revive her or help her?,488,2.670211571,5.664321,12.45749857,beta-control-neural-D.488,torontomyst.6.123015
His lungs were filling with blood.,489,2.84127582,3.942176,11.40563,beta-control-neural-D.489,torontomyst.6.164260
Can I wear a long dress?,490,2.476076799,3.6336856,11.25573571,beta-control-neural-D.490,torontomyst.6.071577
Probably a printed Microsoft Paint file.,491,3.630928482,6.514593,14.42636714,beta-control-neural-D.491,torontomyst.6.024345
Water drips from the exhaust pipe.,492,2.066184176,3.9000173,12.13967143,beta-control-neural-D.492,torontomyst.6.057100
It was the mathematical constant pi.,493,2.65425367,4.9297056,10.97801286,beta-control-neural-D.493,torontomyst.6.127480
The gene heavily influences brain wiring.,494,3.735796988,5.97792,11.32120714,beta-control-neural-D.494,torontomyst.6.105338
The northernmost mountains in central Germany.,495,2.340911082,5.0603333,11.20944571,beta-control-neural-D.495,torontomyst.6.087942
