item_id,sentence,audio_file,item_id_control
1,It has a light tangy flavor.,item_id=8_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.893.wav,8
2,Sophia was asleep on the sofa.,item_id=15_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.216.wav,15
3,Her answer was difficult to grasp.,item_id=16_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=1.060.wav,16
4,His leg is too badly damaged.,item_id=19_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.873.wav,19
5,He treated them like puppy dogs.,item_id=20_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.870.wav,20
6,He took another sip of beer.,item_id=27_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=0.769.wav,27
7,Another dance is about to begin.,item_id=33_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.112.wav,33
8,She seems awfully likable to me.,item_id=36_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=1.152.wav,36
9,They started hiking down the mountain.,item_id=44_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.015.wav,44
10,Light from a fire burned inside.,item_id=48_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.850.wav,48
11,Can we pursue him for robbery?,item_id=52_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.005.wav,52
12,Every now and then she stopped.,item_id=53_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.880.wav,53
13,I cannot debate the truth fact.,item_id=56_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.827.wav,56
14,This lady was an outrageous girl.,item_id=73_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.015.wav,73
15,Another driver waited in a car.,item_id=80_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.228.wav,80
16,"Strangely, I did not feel nervous.",item_id=87_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.000.wav,87
17,"Carefully though, he packed them away.",item_id=89_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.085.wav,89
18,Look at that painting over there.,item_id=98_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=0.791.wav,98
19,What could frighten them this badly?,item_id=101_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=0.826.wav,101
20,Take me to a computer terminal.,item_id=103_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.057.wav,103
21,You are quite smart and attentive.,item_id=106_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.930.wav,106
22,"Besides, it would be terribly unsafe.",item_id=117_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.170.wav,117
23,Her wrist supported many gold bangles.,item_id=118_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.170.wav,118
24,Many soldiers served in his army.,item_id=125_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.063.wav,125
25,It seemed to calm his anxiety.,item_id=126_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.000.wav,126
26,My assistant is bringing them out.,item_id=128_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.000.wav,128
27,What help can you possibly need?,item_id=132_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.797.wav,132
28,A photo appears on the screen.,item_id=135_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=0.882.wav,135
29,The liquid was indeed fresh water.,item_id=136_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.015.wav,136
30,This is the force field parameter.,item_id=137_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.000.wav,137
31,Consequences to us could prove fatal.,item_id=140_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.070.wav,140
32,I studied and became a lawyer.,item_id=144_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=0.977.wav,144
33,They finished eating their chicken dumplings.,item_id=146_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=1.103.wav,146
34,Her energy level was too low.,item_id=152_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=1.076.wav,152
35,Spray and vapor filled the void.,item_id=154_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.793.wav,154
36,The next house is kilometres away.,item_id=169_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.191.wav,169
37,You connect it to a computer.,item_id=172_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.969.wav,172
38,Are they going to expel her?,item_id=175_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.860.wav,175
39,So he continued in his ignorance.,item_id=176_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=1.246.wav,176
40,The hesitant rhythm of the band.,item_id=182_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.000.wav,182
41,Headed into the town's only bar.,item_id=188_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.000.wav,188
42,"Scary and freaky sometimes, but awesome.",item_id=191_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=1.247.wav,191
43,The crowd burst into sudden cacophony.,item_id=196_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.216.wav,196
44,Down by the abandoned train station.,item_id=200_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.057.wav,200
45,You have the poor girl terrified.,item_id=201_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=0.862.wav,201
46,He handed her the leather bag.,item_id=202_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.870.wav,202
47,They taught her humility and compassion.,item_id=208_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.231.wav,208
48,She's using dancing moves to fight.,item_id=211_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.914.wav,211
49,Was that demon or elven magic?,item_id=212_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.028.wav,212
50,And beautiful and smart and witty.,item_id=214_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=1.028.wav,214
51,The inside was circular in shape.,item_id=225_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.046.wav,225
52,That would be simple and effective.,item_id=227_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=1.000.wav,227
53,She lifted her gun and fired.,item_id=233_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.858.wav,233
54,The four of them silently embraced.,item_id=261_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.028.wav,261
55,And some green beans and tomatoes.,item_id=266_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.869.wav,266
