Unnamed: 0,cond_duration,cond_expt,sentence,audio_file,item_id,item_id_control,subject_id,sentence_duration,isi_duration,surprisal-5gram_mean,surprisal-gpt2-xl_mean,surprisal-pcfg_mean,stimsetid,sent_identifier,PC1,PC2
baseline200.p5.1,2,sentence,It has a light tangy flavor.,item_id=8_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.893.wav,1.0,8.0,p5,2,4,2.911316616194589,4.2729816,9.93422142857143,beta-control-neural-D.8,torontoadv.6.048659,-6.636529452781437,-45.934976541299314
baseline200.p5.2,2,sentence,Sophia was asleep on the sofa.,item_id=15_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.216.wav,2.0,15.0,p5,2,4,2.442938596010208,3.321891,11.297841428571427,beta-control-neural-D.15,torontoadv.6.002508,-13.454950533734412,-56.02105170130277
baseline200.p5.3,2,sentence,Her answer was difficult to grasp.,item_id=16_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=1.060.wav,3.0,16.0,p5,2,4,2.416376965386527,4.3579454,9.375687714285714,beta-control-neural-D.16,torontoadv.6.027866,-60.80679370683855,-5.230186670966262
baseline200.p5.4,2,sentence,His leg is too badly damaged.,item_id=19_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.873.wav,4.0,19.0,p5,2,4,2.0483196143593108,4.6701465,10.318251428571427,beta-control-neural-D.19,torontoadv.6.000419,-46.41368845503522,-15.217330776252052
baseline200.p5.5,2,sentence,He treated them like puppy dogs.,item_id=20_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.870.wav,5.0,20.0,p5,2,4,3.0013584750039235,4.4234176,11.356434285714286,beta-control-neural-D.20,torontoadv.6.009295,-62.96279501564906,-30.876940472206776
baseline200.p5.6,2,sentence,He took another sip of beer.,item_id=27_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=0.769.wav,6.0,27.0,p5,2,4,2.329770565032959,3.5605261,10.685918571428571,beta-control-neural-D.27,torontoadv.6.031326,-29.95292955076781,-39.44546214572285
baseline200.p5.7,2,sentence,Another dance is about to begin.,item_id=33_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.112.wav,7.0,33.0,p5,2,4,2.043961295059749,4.0781355,8.885094285714285,beta-control-neural-D.33,torontoadv.6.011883,-77.7406635866211,-16.747731778731918
baseline200.p5.8,2,sentence,She seems awfully likable to me.,item_id=36_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=1.152.wav,8.0,36.0,p5,2,4,3.4507603900773183,4.123476,11.715684285714286,beta-control-neural-D.36,torontoadv.6.039210,-22.21377079366578,25.382831792217903
baseline200.p5.9,2,sentence,They started hiking down the mountain.,item_id=44_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.015.wav,9.0,44.0,p5,2,4,2.697471184389932,4.422843,10.225945714285714,beta-control-neural-D.44,torontoadv.6.015507,-96.57441447583076,-46.614603002301344
baseline200.p5.10,2,sentence,Light from a fire burned inside.,item_id=48_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.850.wav,10.0,48.0,p5,2,4,2.4976587976728166,5.3494635,12.195134285714287,beta-control-neural-D.48,torontoadv.6.044007,41.47584684373078,-9.740642351094488
baseline200.p5.11,2,sentence,Can we pursue him for robbery?,item_id=52_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.005.wav,11.0,52.0,p5,2,4,2.909459718636104,5.5820484,11.94297,beta-control-neural-D.52,torontoadv.6.054168,41.12963869003903,1.6002824105702544
baseline200.p5.12,2,sentence,Every now and then she stopped.,item_id=53_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.880.wav,12.0,53.0,p5,2,4,1.916865843348205,4.2778563,12.269192857142857,beta-control-neural-D.53,torontoadv.6.053846,-20.98543688018324,16.275126181577185
baseline200.p5.13,2,sentence,I cannot debate the truth fact.,item_id=56_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.827.wav,13.0,56.0,p5,2,4,3.052044153213501,6.0255604,9.925745,beta-control-neural-D.56,torontoadv.6.057658,87.42828090363182,53.415642901126766
baseline200.p5.14,2,sentence,This lady was an outrageous girl.,item_id=73_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.015.wav,14.0,73.0,p5,2,4,2.810354777744838,5.3378944,10.95553142857143,beta-control-neural-D.73,torontoadv.6.023104,37.64746096423236,-2.7850543210530967
baseline200.p5.15,2,sentence,Another driver waited in a car.,item_id=80_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.228.wav,15.0,80.0,p5,2,4,2.3603813222476413,5.3172207,10.117872857142856,beta-control-neural-D.80,torontoadv.6.021332,-79.00185228854774,-28.980024138768677
baseline200.p5.16,2,sentence,"Strangely, I did not feel nervous.",item_id=87_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.000.wav,16.0,87.0,p5,2,4,2.670302552836282,3.5506437,8.30322625,beta-control-neural-D.87,torontoadv.6.001190,-100.3694087359675,22.089791902386576
baseline200.p5.17,2,sentence,"Carefully though, he packed them away.",item_id=89_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.085.wav,17.0,89.0,p5,2,4,3.1393236219882965,4.5975614,10.52188125,beta-control-neural-D.89,torontoadv.6.046833,54.03283962899484,28.615429861618587
baseline200.p5.18,2,sentence,Look at that painting over there.,item_id=98_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=0.791.wav,18.0,98.0,p5,2,4,2.7209746156420027,3.7624655,10.43653857142857,beta-control-neural-D.98,torontoadv.6.010474,-48.885959275933786,6.39808110311464
baseline200.p5.19,2,sentence,What could frighten them this badly?,item_id=101_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=0.826.wav,19.0,101.0,p5,2,4,3.5042985337121144,5.02508,11.487034285714287,beta-control-neural-D.101,torontoadv.6.015141,-11.693727830394971,38.809438510287386
baseline200.p5.20,2,sentence,Take me to a computer terminal.,item_id=103_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.057.wav,20.0,103.0,p5,2,4,2.175930849143437,4.5429816,9.989755714285716,beta-control-neural-D.103,torontoadv.6.034240,-65.91017894508389,-39.694204648502975
baseline200.p5.21,2,sentence,You are quite smart and attentive.,item_id=106_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9500_speed=0.930.wav,21.0,106.0,p5,2,4,2.5620710168566023,4.675925,9.761260000000002,beta-control-neural-D.106,torontoadv.6.040357,-53.346675626773305,13.418546939860878
baseline200.p5.22,2,sentence,"Besides, it would be terribly unsafe.",item_id=117_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.170.wav,22.0,117.0,p5,2,4,2.896268597670964,4.221952,8.23904375,beta-control-neural-D.117,torontoadv.6.040970,-9.65313478178868,64.65474828598315
baseline200.p5.23,2,sentence,Her wrist supported many gold bangles.,item_id=118_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.170.wav,23.0,118.0,p5,2,4,3.3233557769230435,6.5894213,12.61528,beta-control-neural-D.118,torontoadv.6.016434,4.988055380004208,-45.856059573108105
baseline200.p5.24,2,sentence,Many soldiers served in his army.,item_id=125_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.063.wav,24.0,125.0,p5,2,4,2.111670958144324,4.9290447,9.997928571428572,beta-control-neural-D.125,torontoadv.6.035997,-68.60348907089943,-32.57935091481006
baseline200.p5.25,2,sentence,It seemed to calm his anxiety.,item_id=126_Studio_O_target_dur=2_epsilon_dur=0.03_actual_dur=1.9750_speed=1.000.wav,25.0,126.0,p5,2,4,2.4246543986456737,4.6030445,8.987004285714287,beta-control-neural-D.126,torontoadv.6.013515,7.009780892080193,-3.830078011755176
